Samples,MeanCp,STD Cp,Mean conc,STD conc
"A1, A2",19.98056192,0.526847143,0,0
"A3, A4",18.96739346,0.126449866,0,0
"A5, A6",20.1208267,0.004616886,0,0
"A7, A8",23.16562483,0.112917056,0,0
"A10, A9",19.32596065,0.391031466,0,0
"A11, A12",20.82932458,0.427472825,0,0
"A13, A14",20.48787532,0.551695496,0,0
"A15, A16",21.10850732,0.761327102,0,0
"A17, A18",19.42444848,0.694763269,0,0
"A19, A20",20.38124898,0.966641082,0,0
"A21, A22",20.06844512,0.775436723,0,0
"A23, A24",20.01790991,0.757571768,0,0
"B1, B2",19.98891994,0.328216691,0,0
"B3, B4",19.99307985,0.33691745,0,0
"B5, B6",20.38339359,0.415692894,0,0
"B7, B8",18.12638104,0.238777766,0,0
"B10, B9",20.6288874,0.245137095,0,0
"B11, B12",20.19356617,0.306440673,0,0
"B13, B14",19.75070611,0.205539501,0,0
"B15, B16",19.36061735,0.344489676,0,0
"B17, B18",20.36382478,0.218159925,0,0
"B19, B20",19.1859788,0.464122723,0,0
"B21, B22",19.50980402,0.363757571,0,0
"B23, B24",20.8629166,0.20382701,0,0
"C1, C2",21.3269725,0.764605269,0,0
"C3, C4",20.2460852,0.689776857,0,0
"C5, C6",20.01565778,0.634965542,0,0
"C7, C8",20.67018339,0.823072587,0,0
"C10, C9",36.10010592,0.965780826,0,0
"C11, C12",35.47632367,0,0,0
"C13, C14",0,0,0,0
"C15, C16",0,0,0,0
"C17, C18",0,0,0,0
"C19, C20",0,0,0,0
"C21, C22",0,0,0,0
"C23, C24",0,0,0,0
"D1, D2",0,0,0,0
"D3, D4",0,0,0,0
"D5, D6",34.41876314,0,0,0
"D7, D8",0,0,0,0
"D10, D9",18.8403411,0.208298132,0,0
"D11, D12",35.64788622,0.023578138,0,0
"D13, D14",0,0,0,0
"D15, D16",0,0,0,0
"D17, D18",0,0,0,0
"D19, D20",0,0,0,0
"D21, D22",0,0,0,0
"D23, D24",0,0,0,0
"E1, E2",31.65081355,0.038333567,0,0
"E3, E4",31.2190431,0.064857021,0,0
"E5, E6",32.46190283,0.368529678,0,0
"E7, E8",34.42080438,0.219674917,0,0
"E10, E9",33.24695454,0.613621354,0,0
"E11, E12",34.33065493,0.771239735,0,0
"E13, E14",31.82323008,0.129695806,0,0
"E15, E16",30.74130283,0.068069843,0,0
"E17, E18",31.42294845,0.491474693,0,0
"E19, E20",31.3408485,0.189202151,0,0
"E21, E22",30.97090044,0.219091905,0,0
"E23, E24",27.84708649,0.010277739,0,0
"F1, F2",27.55065733,0.362982408,0,0
"F3, F4",28.79422784,0.028015508,0,0
"F5, F6",28.4671446,0.045004956,0,0
"F7, F8",27.88202235,0.026969995,0,0
"F10, F9",27.09534774,0.014904957,0,0
"F11, F12",27.26718703,0.277192057,0,0
"F13, F14",28.18721856,0.157598319,0,0
"F15, F16",26.92313666,0.099504666,0,0
"F17, F18",30.01150926,0.027490086,0,0
"F19, F20",26.63683721,0.18161109,0,0
"F21, F22",29.09965937,0.088160231,0,0
"F23, F24",29.60029684,0.010287187,0,0
"G1, G2",32.61287276,0.047600785,0,0
"G3, G4",31.24103656,0.377701939,0,0
"G5, G6",29.78303243,0.368491828,0,0
"G7, G8",30.8081874,0.74695116,0,0
"G10, G9",29.2405431,0.680562712,0,0
"G11, G12",37.70289717,0.489337644,0,0
"G13, G14",0,0,0,0
"G15, G16",0,0,0,0
"G17, G18",0,0,0,0
"G19, G20",0,0,0,0
"G21, G22",0,0,0,0
"G23, G24",0,0,0,0
"H1, H2",0,0,0,0
"H3, H4",0,0,0,0
"H5, H6",0,0,0,0
"H7, H8",0,0,0,0
"H10, H9",0,0,0,0
"H11, H12",0,0,0,0
"H13, H14",0,0,0,0
"H15, H16",0,0,0,0
"H17, H18",0,0,0,0
"H19, H20",0,0,0,0
"H21, H22",0,0,0,0
"H23, H24",0,0,0,0
"I1, I2",0,0,0,0
"I3, I4",0,0,0,0
"I5, I6",0,0,0,0
"I7, I8",0,0,0,0
"I10, I9",0,0,0,0
"I11, I12",0,0,0,0
"I13, I14",0,0,0,0
"I15, I16",0,0,0,0
"I17, I18",0,0,0,0
"I19, I20",0,0,0,0
"I21, I22",0,0,0,0
"I23, I24",0,0,0,0
"J1, J2",0,0,0,0
"J3, J4",0,0,0,0
"J5, J6",0,0,0,0
"J7, J8",0,0,0,0
"J10, J9",0,0,0,0
"J11, J12",0,0,0,0
"J13, J14",0,0,0,0
"J15, J16",0,0,0,0
"J17, J18",0,0,0,0
"J19, J20",0,0,0,0
"J21, J22",0,0,0,0
"J23, J24",0,0,0,0
"K1, K2",28.97208628,0.142471642,0,0
"K3, K4",28.55764423,0.784340941,0,0
"K5, K6",27.30315919,0.054610308,0,0
"K7, K8",25.11330647,0.013232163,0,0
"K10, K9",28.96730667,0.20458794,0,0
"K11, K12",26.54351957,0.112195178,0,0
"K13, K14",25.45495637,0.06194663,0,0
"K15, K16",26.42586602,0.177167883,0,0
"K17, K18",27.07418695,0.017912375,0,0
"K19, K20",26.50172099,0.881421866,0,0
"K21, K22",27.34585233,0.085382127,0,0
"K23, K24",26.91175595,0.023131461,0,0
"L1, L2",11.17100447,0.127101232,0,0
"L3, L4",14.65008533,0.074579355,0,0
"L5, L6",0,0,0,0
"L7, L8",0,0,0,0
"L10, L9",0,0,0,0
"L11, L12",0,0,0,0
"L13, L14",0,0,0,0
"L15, L16",0,0,0,0
"L17, L18",0,0,0,0
"L19, L20",0,0,0,0
"L21, L22",0,0,0,0
"L23, L24",0,0,0,0
"M1, M2",0,0,0,0
"M3, M4",0,0,0,0
"M5, M6",0,0,0,0
"M7, M8",0,0,0,0
"M10, M9",0,0,0,0
"M11, M12",0,0,0,0
"M13, M14",0,0,0,0
"M15, M16",0,0,0,0
"M17, M18",0,0,0,0
"M19, M20",0,0,0,0
"M21, M22",0,0,0,0
"M23, M24",0,0,0,0
"N1, N2",5,0,0,0
"N3, N4",7.26267058,0.188497186,0,0
"N5, N6",9.980550349,0.138830427,0,0
"N7, N8",13.19697433,0.063795735,0,0
"N10, N9",16.29435793,0.049818577,0,0
"N11, N12",20.10481643,0.044439618,0,0
"N13, N14",23.27332749,0.060213369,0,0
"N15, N16",26.40006431,0.201088582,0,0
"N17, N18",29.71018285,0.182276798,0,0
"N19, N20",30.91627348,0.017721932,0,0
"N21, N22",0,0,0,0
"N23, N24",0,0,0,0
"O1, O2",0,0,0,0
"O3, O4",0,0,0,0
"O5, O6",0,0,0,0
"O7, O8",0,0,0,0
"O10, O9",0,0,0,0
"O11, O12",0,0,0,0
"O13, O14",0,0,0,0
"O15, O16",0,0,0,0
"O17, O18",0,0,0,0
"O19, O20",0,0,0,0
"O21, O22",0,0,0,0
"O23, O24",0,0,0,0
"P1, P2",0,0,0,0
"P3, P4",0,0,0,0
"P5, P6",0,0,0,0
"P7, P8",0,0,0,0
"P10, P9",0,0,0,0
"P11, P12",0,0,0,0
"P13, P14",0,0,0,0
"P15, P16",0,0,0,0
"P17, P18",0,0,0,0
"P19, P20",0,0,0,0
"P21, P22",0,0,0,0
"P23, P24",0,0,0,0
